transaction_id,user_id,amount,timestamp,location,device,category,is_fraud,fraud_type,scenario_id,scenario_name
TXN_S1_001,U_VEL_01,45.99,1742013000,NYC,mobile,electronics,True,velocity,1,Velocity Attack
TXN_S1_002,U_VEL_01,52.3,1742013035,NYC,mobile,electronics,True,velocity,1,Velocity Attack
TXN_S1_003,U_VEL_01,38.75,1742013072,NYC,mobile,clothing,True,velocity,1,Velocity Attack
TXN_S1_004,U_VEL_01,61.2,1742013130,NYC,mobile,electronics,True,velocity,1,Velocity Attack
TXN_S1_005,U_VEL_01,47.85,1742013178,NYC,mobile,electronics,True,velocity,1,Velocity Attack
TXN_S2_001,U_GEO_01,28.5,1742013000,NYC,mobile,restaurant,False,,2,Geographic Impossibility
TXN_S2_002,U_GEO_01,32.0,1742013120,NYC,mobile,grocery,False,,2,Geographic Impossibility
TXN_S2_003,U_GEO_01,89.99,1742013500,Tokyo,desktop,electronics,True,geographic,2,Geographic Impossibility
TXN_S2_004,U_GEO_01,125.0,1742013600,Tokyo,desktop,electronics,True,geographic,2,Geographic Impossibility
TXN_S3_001,U_AMT_01,18.5,1742013000,LA,mobile,grocery,False,,3,Amount Spike
TXN_S3_002,U_AMT_01,22.3,1742016600,LA,mobile,gas,False,,3,Amount Spike
TXN_S3_003,U_AMT_01,15.75,1742020200,LA,mobile,restaurant,False,,3,Amount Spike
TXN_S3_004,U_AMT_01,19.99,1742023800,LA,mobile,pharmacy,False,,3,Amount Spike
TXN_S3_005,U_AMT_01,487.5,1742027400,LA,desktop,jewelry,True,amount_anomaly,3,Amount Spike
TXN_S4_001,U_ATO_01,22.5,1742013000,LA,mobile,grocery,False,,4,Account Takeover
TXN_S4_002,U_ATO_01,18.75,1742016600,LA,mobile,gas,False,,4,Account Takeover
TXN_S4_003,U_ATO_01,25.0,1742020200,LA,mobile,restaurant,False,,4,Account Takeover
TXN_S4_004,U_ATO_01,245.0,1742023800,Chicago,desktop,gift_cards,True,account_takeover,4,Account Takeover
TXN_S4_005,U_ATO_01,189.99,1742024400,Chicago,desktop,electronics,True,account_takeover,4,Account Takeover
TXN_S5_001,U_MICRO_01,1.0,1742013000,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
TXN_S5_002,U_MICRO_01,1.13,1742013015,NYC,mobile,digital_goods,True,velocity,5,Micro-Transaction Testing
